Time (s),Amplitude
2.4078947368421053e-08,100000000.99832591
2.4210526315789472e-08,100000000.99876997
2.4342105263157894e-08,100000000.99914576
2.4473684210526317e-08,100000000.99945326
2.4605263157894735e-08,100000000.99969244
2.4736842105263158e-08,100000000.99986331
2.486842105263158e-08,100000000.99996583
2.5e-08,100000001.0
2.513157894736842e-08,100000000.99996583
2.5263157894736843e-08,100000000.99986331
2.5394736842105262e-08,100000000.99969244
2.5526315789473684e-08,100000000.99945326
2.5657894736842107e-08,100000000.99914576
2.5789473684210526e-08,100000000.99876997
2.5921052631578948e-08,100000000.99832591
2.6052631578947367e-08,100000000.99781363
2.618421052631579e-08,100000000.99723314
2.631578947368421e-08,100000000.99658449
2.644736842105263e-08,100000000.99586773
2.6578947368421052e-08,100000000.9950829
2.6710526315789475e-08,100000000.99423006
2.6842105263157894e-08,100000000.99330926
2.6973684210526316e-08,100000000.99232058
2.7105263157894738e-08,100000000.99126408
2.7236842105263157e-08,100000000.99013981
2.736842105263158e-08,100000000.98894787
2.75e-08,100000000.98768835
2.763157894736842e-08,100000000.98636131
2.7763157894736843e-08,100000000.98496684
2.7894736842105265e-08,100000000.98350507
2.8026315789473684e-08,100000000.98197608
2.8157894736842106e-08,100000000.98037997
2.8289473684210525e-08,100000000.97871685
2.8421052631578947e-08,100000000.97698683
2.855263157894737e-08,100000000.97519004
2.8684210526315788e-08,100000000.9733266
2.881578947368421e-08,100000000.97139663
2.8947368421052633e-08,100000000.96940027
2.907894736842105e-08,100000000.96733765
2.9210526315789474e-08,100000000.9652089
2.9342105263157896e-08,100000000.9630142
2.9473684210526315e-08,100000000.96075368
2.9605263157894737e-08,100000000.95842749
2.973684210526316e-08,100000000.95603578
2.986842105263158e-08,100000000.95357874
3e-08,100000000.95105651
3.013157894736842e-08,100000000.9484693
3.026315789473684e-08,100000000.94581725
3.0394736842105264e-08,100000000.94310054
3.0526315789473686e-08,100000000.94031939
3.065789473684211e-08,100000000.93747397
3.0789473684210524e-08,100000000.93456447
3.0921052631578946e-08,100000000.9315911
3.105263157894737e-08,100000000.92855404
3.118421052631579e-08,100000000.92545353
3.131578947368421e-08,100000000.92228976
3.144736842105263e-08,100000000.91906294
3.157894736842105e-08,100000000.91577333
3.171052631578947e-08,100000000.9124211
3.1842105263157895e-08,100000000.90900654
3.197368421052632e-08,100000000.90552983
3.210526315789474e-08,100000000.90199123
3.2236842105263155e-08,100000000.89839098
3.236842105263158e-08,100000000.89472933
3.25e-08,100000000.89100653
3.263157894736842e-08,100000000.88722283
3.2763157894736844e-08,100000000.88337848
3.289473684210526e-08,100000000.87947375
3.302631578947368e-08,100000000.87550892
3.3157894736842104e-08,100000000.87148425
3.3289473684210527e-08,100000000.8674
3.342105263157895e-08,100000000.86325648
3.355263157894737e-08,100000000.85905395
3.368421052631579e-08,100000000.85479271
3.381578947368421e-08,100000000.85047305
3.394736842105263e-08,100000000.84609525
3.4078947368421053e-08,100000000.84165964
3.4210526315789476e-08,100000000.83716647
3.43421052631579e-08,100000000.8326161
