Frequency (Hz),Power (dBm)
10000000,-76.5456848144587
10312197.2561643,-131.145239829766
10624394.5123285,-76.9836883544999
10936591.7684928,-129.151343345391
11248789.024657,-77.256340026865
11560986.2808213,-132.711356162774
11873183.5369855,-77.373916625987
12185380.7931498,-129.558463096368
12497578.049314,-77.3459777832134
12809775.3054783,-133.623389243829
13121972.5616426,-77.4429779052845
13434169.8178068,-128.115759849297
13746367.0739711,-77.1144485473719
14058564.3301353,-136.285300254571
14370761.5862996,-78.3248748779514
14682958.8424638,-142.423483848321
14995156.0986281,-77.6207885742314
15307353.3547923,-145.496970176446
15619550.6109566,-77.0820693969811
15931747.8671208,-133.053748130547
16243945.1232851,-77.5840148925905
16556142.3794494,-141.599570274102
16868339.6356136,-78.4394683838129
17180536.8917779,-135.205618858087
17492734.1479421,-78.6856613159468
17804931.4041064,-137.221533775079
18117128.6602706,-78.4945678711186
18429325.9164349,-132.86702632879
18741523.1725991,-77.9117431640784
19053720.4287634,-140.439795493829
19365917.6849277,-78.2865524292205
19678114.9410919,-135.169547080743
19990312.1972562,-78.0373916626152
20302509.4534204,-138.648718833672
20614706.7095847,-78.6172485351837
20926903.9657489,-133.646735191094
21239101.2219132,-78.6877899170212
21551298.4780774,-132.005606651055
21863495.7342417,-78.7414245605771
22175692.990406,-134.640341758477
22487890.2465702,-78.4731597900637
22800087.5027345,-137.735144614922
23112284.7588987,-78.7230224609674
23424482.015063,-135.706717490899
23736679.2712272,-79.0728454590235
24048876.5273915,-130.349738120782
24361073.7835557,-79.0934066772858
24673271.03972,-137.335303306329
24985468.2958842,-78.6671295166303
25297665.5520485,-136.009711265313
25609862.8082128,-78.1142654419133
25922060.064377,-133.240332603204
26234257.3205413,-78.2809524536346
26546454.5767055,-134.214713096368
26858651.8328698,-79.7278976441074
27170849.089034,-144.604361533868
27483046.3451983,-79.1941909790466
27795243.6013625,-131.017447471368
28107440.8575268,-78.7155990600882
28419638.1136911,-130.665274619805
28731835.3698553,-78.4302978515862
29044032.6260196,-134.245734214532
29356229.8821838,-79.2973785400851
29668427.1383481,-131.60643672918
29980624.3945123,-79.7448120117836
30292821.6506766,-129.655035972344
30605018.9068408,-78.9884185791378
30917216.1630051,-132.277869224297
31229413.4191694,-78.390769958519
31541610.6753336,-131.359793662774
31853807.9314979,-79.368087768603
32166005.1876621,-135.118109702813
32478202.4438264,-79.4495239258326
32790399.6999906,-130.565772056329
33102596.9561549,-79.6720657349241
33414794.2123191,-130.10481929754
33726991.4684834,-78.9832839966179
34039188.7246476,-132.953299522149
34351385.9808119,-78.733261108428
34663583.2369762,-137.261343955743
34975780.4931404,-78.8433532715165
35287977.7493047,-129.354025840508
35600175.0054689,-79.5325775147028
35912372.2616332,-140.696890830743
36224569.5177974,-79.5566864014225
36536766.7739617,-129.472784995782
36848964.0301259,-78.6988754272747
37161161.2862902,-134.886191367852
37473358.5424545,-79.0059280395869
37785555.7986187,-131.735373496758
38097753.054783,-79.5121536255415
38409950.3109472,-130.099249839532
38722147.5671115,-79.7743835449868
39034344.8232757,-141.77799129461
39346542.07944,-79.4155883789555
39658739.3356042,-134.571051597344
39970936.5917685,-79.2008438110769
40283133.8479327,-132.976828574883
40595331.104097,-79.1176528931055
40907528.3602613,-140.105566978204
41219725.6164255,-79.064590454139
41531922.8725898,-131.318533897149
41844120.128754,-79.9184417725329
42156317.3849183,-132.50162410711
42468514.6410825,-79.3149108887171
42780711.8972468,-134.055136680352
43092909.153411,-78.8598403930983
43405106.4095753,-134.623099326837
43717303.6657396,-79.1198654175193
44029500.9219038,-132.358618736016
44341698.1780681,-80.1905212403226
44653895.4342323,-141.171835899102
44966092.6903966,-79.7993927002606
45278289.9465608,-131.545493125665
45590487.2027251,-79.051086425818
45902684.4588893,-133.024771690118
46214881.7150536,-79.067108154334
46527078.9712178,-136.517035484063
46839276.2273821,-79.4469223022957
47151473.4835464,-132.588660239922
47463670.7397106,-79.5298233032754
47775867.9958749,-131.554465293633
48088065.2520391,-79.7244415283815
48400262.5082034,-136.932578086602
48712459.7643676,-79.1650085449616
49024657.0205319,-139.030676841485
49336854.2766961,-79.5632019043507
49649051.5328604,-140.126334190118
49961248.7890247,-79.3278732300254
50273446.0451889,-129.463248252618
50585643.3013532,-79.1532821655666
50897840.5575174,-135.762656211602
51210037.8136817,-79.1917572021889
51522235.0698459,-135.05809688543
51834432.3260102,-79.8350830078786
52146629.5821744,-134.314597129571
52458826.8383387,-79.5972137451723
52771024.094503,-139.707083701837
53083221.3506672,-79.3784637451637
53395418.6068315,-132.367529868829
53707615.8629957,-79.0707778931031
54019813.11916,-133.38199520086
54332010.3753242,-79.6214981079662
54644207.6314885,-132.733313560235
54956404.8876527,-79.7158279419547
55268602.143817,-128.894995689141
55580799.3999813,-79.8439636231132
55892996.6561455,-131.219855308282
56205193.9123098,-79.052688598669
56517391.168474,-137.644186973321
56829588.4246383,-79.3844070435036
57141785.6808025,-138.83870601629
57453982.9369668,-79.5154800415554
57766180.193131,-133.276968955743
58078377.4492953,-79.3628692627411
58390574.7054596,-135.551123618829
58702771.9616238,-79.2705230713317
59014969.2177881,-131.443076133477
59327166.4739523,-79.6624984741786
59639363.7301166,-136.096213340508
59951560.9862808,-78.8550567627262
60263758.2424451,-137.982306480157
60575955.4986093,-79.0028610229839
60888152.7547736,-134.024619102227
61200350.0109378,-79.8310852051437
61512547.2671021,-136.801154136407
61824744.5232664,-79.6774215698825
62136941.7794306,-141.665640830743
62449139.0355949,-79.2856445312932
62761336.2917591,-133.183676719415
63073533.5479234,-78.832138061554
63385730.8040876,-130.066031455743
63697928.0602519,-79.5677490234913
64010125.3164161,-135.353095054376
64322322.5725804,-80.0498123169724
64634519.8287446,-145.123297691094
64946717.0849089,-79.3111495972122
65258914.3410732,-133.039404868829
65571111.5972374,-79.1817474365636
65883308.8534017,-132.169196128594
66195506.1095659,-79.1963882446695
66507703.3657302,-136.817603111016
66819900.6218944,-79.6549301148039
67132097.8780587,-141.150732993829
67444295.134223,-79.6659011841404
67756492.3903872,-134.749381065118
68068689.6465515,-79.7510986328748
68380886.9027157,-130.275031089532
68693084.15888,-79.3064041138139
69005281.4150442,-139.806372642266
69317478.6712085,-79.4415817261235
69629675.9273727,-131.231818198907
69941873.183537,-79.1600418091218
70254070.4397012,-138.896414756524
70566267.6958655,-79.9669494629645
70878464.9520297,-131.96663570379
71190662.208194,-79.2848739624462
71502859.4643583,-133.856101035821
71815056.7205225,-79.1459121704496
72127253.9766868,-137.735785484063
72439451.232851,-79.4133758545406
72751648.4890153,-133.777350425469
73063845.7451795,-79.692596435607
73376043.0013438,-131.598944663751
73688240.257508,-78.9855270386092
74000437.5136723,-140.961981773126
74312634.7698366,-79.5072784424351
74624832.0260008,-132.506491660821
74937029.2821651,-79.3903732300283
75249226.5383293,-134.288657188165
75561423.7944936,-79.808494567937
75873621.0506578,-132.687903403985
76185818.3068221,-79.5181350708536
76498015.5629863,-128.441382407891
76810212.8191506,-79.8473358154978
77122410.0753148,-138.439398765313
77434607.3314791,-79.8193511963558
77746804.5876434,-135.187262534844
78059001.8438076,-79.8215026856138
78371199.0999719,-134.67789363836
78683396.3561361,-79.6031646729082
78995593.6123004,-131.353720664727
79307790.8684646,-79.6067886353107
79619988.1246289,-129.592749595391
79932185.3807932,-79.3487701416483
80244382.6369574,-132.955084800469
80556579.8931217,-79.7021179199832
80868777.1492859,-132.097784995782
81180974.4054502,-79.9986801148232
81493171.6616144,-134.22508907293
81805368.9177787,-79.4735870361844
82117566.1739429,-133.003272056329
82429763.4301072,-78.9066009521819
82741960.6862714,-133.863532066094
83054157.9424357,-79.4449615479022
83366355.1986,-132.693167686212
83678552.4547642,-79.653327941954
83990749.7109285,-130.005881309258
84302946.9670927,-79.7529296875643
84615144.223257,-137.316687583672
84927341.4794212,-79.4666900635283
85239538.7355855,-134.250174522149
85551735.9917497,-79.685356140198
85863933.247914,-131.188818931329
86176130.5040783,-79.6475219727158
86488327.7602425,-135.914847373712
86800525.0164068,-79.791954040594
87112722.272571,-134.992880820977
87424919.5287353,-79.8489303589565
87737116.7848995,-138.48274898504
88049314.0410638,-79.5215377808161
88361511.297228,-133.004187583672
88673708.5533923,-79.604965210019
88985905.8095566,-148.940192222344
89298103.0657208,-79.4502792358914
89610300.3218851,-133.677420615899
89922497.5780493,-79.6652679443969
90234694.8342136,-138.406378745782
90546892.0903778,-79.6583023071896
90859089.3465421,-130.986853599297
91171286.6027063,-79.4396820068874
91483483.8588706,-137.246695518243
91795681.1150348,-79.2519226074665
92107878.3711991,-133.405570029962
92420075.6273634,-79.1486816406663
92732272.8835276,-135.818747520196
93044470.1396919,-79.5275573731021
93356667.3958561,-132.507513999688
93668864.6520204,-79.2302932739698
93981061.9081846,-129.825369834649
94293259.1643489,-79.6010894775977
94605456.4205131,-131.714545249688
94917653.6766774,-79.9138183594496
95229850.9328417,-133.383978843438
95542048.1890059,-79.2630538940883
95854245.4451702,-133.21678829168
96166442.7013344,-79.3700027466314
96478639.9574987,-130.29947566961
96790837.2136629,-79.0889053345125
97103034.4698272,-132.619330405938
97415231.7259914,-80.3746948243256
97727428.9821557,-132.804175376641
98039626.2383199,-79.842254638743
98351823.4944842,-132.832495689141
98664020.7506485,-79.4016723633321
98976218.0068127,-132.852713584649
99288415.262977,-79.0338592529681
99600612.5191412,-130.738699912774
99912809.7753055,-79.7838821411816
100225007.03147,-126.915831565606
100537204.287634,-79.8347167969462
100849401.543798,-134.861304282891
101161598.799963,-79.8516998291738
101473796.056127,-142.277640342462
101785993.312291,-79.5269393921463
102098190.568455,-137.225028037774
102410387.82462,-79.4189834595247
102722585.080784,-135.67659664129
103034782.336948,-79.8423919678455
103346979.593112,-142.827612876641
103659176.849277,-80.0541381836787
103971374.105441,-138.397498130547
104283571.361605,-79.4574508667531
104595768.617769,-138.711401939141
104907965.873934,-79.6162796021117
105220163.130098,-132.324149131524
105532360.386262,-79.8816757202897
105844557.642426,-134.048392295587
106156754.898591,-79.9927291870933
106468952.154755,-135.994589805352
106781149.410919,-80.0530776978395
107093346.667083,-130.800879478204
107405543.923248,-79.4747619629457
107717741.179412,-144.85367488836
108029938.435576,-80.2193374634765
108342135.69174,-139.02718257879
108654332.947905,-79.915893554765
108966530.204069,-142.299933433282
109278727.460233,-79.0318450928128
109590924.716397,-133.484457969415
109903121.972562,-79.3266372681159
110215319.228726,-148.669791221368
110527516.48489,-79.9087905884564
110839713.741054,-134.647284507501
111151910.997219,-79.8405227661869
111464108.253383,-131.683371543633
111776305.509547,-79.6451110840479
112088502.765711,-134.372595786797
112400700.021876,-78.8977661133171
112712897.27804,-130.614203452813
113025094.534204,-79.7974090576888
113337291.790368,-132.649329185235
113649489.046533,-80.0473709107314
113961686.302697,-134.132513999688
114273883.558861,-80.0430374146375
114586080.815025,-137.197272300469
114898278.07119,-79.3346405029802
115210475.327354,-128.255393028008
115522672.583518,-78.9496231079478
115834869.839682,-142.291281699883
116147067.095847,-79.4031600952682
116459264.352011,-126.798911094415
116771461.608175,-79.7471923828821
117083658.86434,-148.643515586602
117395856.120504,-79.9273300171699
117708053.376668,-134.138876914727
118020250.632832,-79.6929702759459
118332447.888997,-133.123282432305
118644645.145161,-79.6107406616841
118956842.401325,-138.077567100274
119269039.657489,-79.1735305786584
119581236.913654,-131.016379356133
119893434.169818,-79.4668579102129
120205631.425982,-130.841818809258
120517828.682146,-79.5172119141214
120830025.938311,-135.156775474297
121142223.194475,-80.3375549317513
121454420.450639,-132.799994468438
121766617.706803,-79.7953262329833
122078814.962968,-149.935935020196
122391012.219132,-79.615425109927
122703209.475296,-138.873084068047
123015406.73146,-79.5501785278927
123327603.987625,-132.335989951837
123639801.243789,-79.1196594238718
123951998.499953,-131.023550986993
124264195.756117,-79.8709259033981
124576393.012282,-131.893866538751
124888590.268446,-80.0614318848557
125200787.52461,-134.925635337579
125512984.780774,-79.7169036865927
125825182.036939,-136.695532798516
126137379.293103,-79.0798645019957
126449576.549267,-129.836524009454
126761773.805431,-79.1057510376411
127073971.061596,-139.972189903008
127386168.31776,-80.0400085450109
127698365.573924,-131.929205894219
128010562.830088,-80.2092056275428
128322760.086253,-143.77359676336
128634957.342417,-79.3818206787648
128947154.598581,-132.349890708672
129259351.854745,-79.7200469971402
129571549.11091,-132.279501914727
129883746.367074,-79.9414215088719
130195943.623238,-136.927390098321
130508140.879402,-79.777687072827
130820338.135567,-133.145575523126
131132535.391731,-80.1115036011688
131444732.647895,-135.468131065118
131756929.904059,-79.7030410767294
132069127.160224,-132.103751182305
132381324.416388,-79.9229431153164
132693521.672552,-127.927992820489
133005718.928717,-79.5453414917607
133317916.184881,-136.113867759454
133630113.441045,-79.4455490112875
133942310.697209,-133.744589805352
134254507.953374,-79.0510482788507
134566705.209538,-128.434103965508
134878902.465702,-79.7060317993861
135191099.721866,-138.610922813165
135503296.978031,-79.8987426758622
135815494.234195,-137.676978111016
136127691.490359,-79.4336853027911
136439888.746523,-129.397345542657
136752086.002688,-79.3030242920435
137064283.258852,-130.042777061212
137376480.515016,-80.0248870850503
137688677.77118,-128.776633262383
138000875.027345,-80.2881546021603
138313072.283509,-136.835364341485
138625269.539673,-80.2486190796962
138937466.795837,-131.653494834649
139249664.052002,-79.4131546021069
139561861.308166,-133.929739951837
139874058.56433,-79.522819519104
140186255.820494,-134.624884605157
140498453.076659,-79.7373580933337
140810650.332823,-132.198370933282
141122847.588987,-79.3598480225148
141435044.845151,-137.218237876641
141747242.101316,-79.3204116821811
142059439.35748,-139.288809776055
142371636.613644,-79.5624542236956
142683833.869808,-131.720679282891
142996031.125973,-79.7912673950943
143308228.382137,-132.400015830743
143620425.638301,-80.0465393067315
143932622.894465,-136.119772910821
144244820.15063,-79.5742263794578
144557017.406794,-130.879187583672
144869214.662958,-79.9904479981338
145181411.919122,-134.733450889337
145493609.175287,-80.3640518189634
145805806.431451,-134.750601768243
146118003.687615,-79.6918334961628
146430200.943779,-136.222189903008
146742398.199944,-79.3929595947815
147054595.456108,-141.999777793633
147366792.712272,-79.2851791382341
147678989.968437,-130.865744590508
147991187.224601,-80.2276153565493
148303384.480765,-133.954199790704
148615581.736929,-79.9963607788956
148927778.993094,-142.913321494805
149239976.249258,-79.7651062012447
149552173.505422,-135.866995811212
149864370.761586,-79.3530578613812
150176568.017751,-137.905966758477
150488765.273915,-79.6678543091495
150800962.530079,-133.166602134454
151113159.786243,-79.341056823783
151425357.042408,-130.856955528008
151737554.298572,-79.7697753906979
152049751.554736,-140.423865318047
152361948.8109,-79.7472457886458
152674146.067065,-129.936575889337
152986343.323229,-80.0701293946229
153298540.579393,-130.175681113946
153610737.835557,-79.5493087769169
153922935.091722,-132.349875449883
154235132.347886,-79.2423553467282
154547329.60405,-134.538763999688
154859526.860214,-79.2521591187012
155171724.116379,-136.294043540704
155483921.372543,-79.6059112549468
155796118.628707,-133.324408530938
156108315.884871,-80.1331100464826
156420513.141036,-132.540488242852
156732710.3972,-79.6262588501626
157044907.653364,-136.127219199883
157357104.909528,-78.8063201904643
157669302.165693,-131.733283042657
157981499.421857,-79.2019653320781
158293696.678021,-138.144385337579
158605893.934185,-80.4038314820512
158918091.19035,-131.86019039129
159230288.446514,-80.2365188599667
159542485.702678,-137.203436851251
159854682.958842,-79.5503387451783
160166880.215007,-133.846259116876
160479077.471171,-79.0258941650799
160791274.727335,-140.792227744805
161103471.983499,-79.4669494629479
161415669.239664,-134.922385215508
161727866.495828,-79.6728286743835
162040063.751992,-145.264502525079
162352261.008157,-79.4259796143133
162664458.264321,-135.309882163751
162976655.520485,-79.6487655640307
163288852.776649,-132.136527061212
163601050.032814,-80.3940811158392
163913247.288978,-130.532248496758
164225444.545142,-79.7092132569049
164537641.801306,-133.959357261407
164849839.057471,-79.806320190504
165162036.313635,-133.128973960626
165474233.569799,-79.1464462280721
165786430.825963,-137.400519370782
166098628.082128,-79.8190078736102
166410825.338292,-135.525794028985
166723022.594456,-80.1997985840848
167035219.85062,-131.679221153008
167347417.106785,-79.7199783325891
167659614.362949,-131.791037559258
167971811.619113,-79.3981704712457
168284008.875277,-136.011862754571
168596206.131442,-78.9279022217176
168908403.387606,-128.97054195379
169220600.64377,-80.1546096802728
169532797.899934,-140.127707481133
169844995.156099,-79.7585678101302
170157192.412263,-135.21842098211
170469389.668427,-79.4705734253504
170781586.924591,-133.390723228204
171093784.180756,-79.5088806152935
171405981.43692,-128.550528526055
171718178.693084,-79.3803634644091
172030375.949248,-134.154517173516
172342573.205413,-79.4657058716392
172654770.461577,-135.740607261407
172966967.717741,-79.6987762451856
173279164.973905,-138.033698081719
173591362.23007,-80.1567382813472
173903559.486234,-136.043585777032
174215756.742398,-80.1722640992194
174527953.998562,-138.541724204766
174840151.254727,-79.6792144776065
175152348.510891,-129.818854331719
175464545.767055,-79.0832824707458
175776743.023219,-131.762122153985
176088940.279384,-79.439079284724
176401137.535548,-140.285284995782
176713334.791712,-79.8330993653102
177025532.047877,-129.281165122735
177337729.304041,-79.5473098755492
177649926.560205,-141.079199790704
177962123.816369,-79.3754272461471
178274321.072534,-130.178717612969
178586518.328698,-79.6246643067053
178898715.584862,-141.076453208672
179210912.841026,-79.3939895630424
179523110.097191,-132.065482139337
179835307.353355,-79.9048614502754
180147504.609519,-146.687201499688
180459701.865683,-79.4905548096287
180771899.121848,-132.854407310235
181084096.378012,-80.2131729126995
181396293.634176,-131.982214927422
181708490.89034,-80.0964965821245
182020688.146505,-141.657828330743
182332885.402669,-79.9445419312355
182645082.658833,-142.585501670587
182957279.914997,-79.3707351685107
183269477.171162,-134.966589927422
183581674.427326,-79.484825134336
183893871.68349,-131.530203819024
184206068.939654,-80.2250823975646
184518266.195819,-133.247931480157
184830463.451983,-79.9841995240121
185142660.708147,-146.102881431329
185454857.964311,-79.4530181885341
185767055.220476,-129.672080039727
186079252.47664,-79.2077255249501
186391449.732804,-130.879019736993
186703646.988968,-78.7941360473981
187015844.245133,-137.628851890313
187328041.501297,-79.8393936158005
187640238.757461,-150.893164634454
187952436.013625,-79.7374114990956
188264633.26979,-129.697775840508
188576830.525954,-79.7566986084718
188889027.782118,-140.137717246758
189201225.038282,-79.5599136353171
189513422.294447,-134.489172935235
189825619.550611,-79.2242279053224
190137816.806775,-135.448447227227
190450014.062939,-79.2515945435071
190762211.319104,-133.689917564141
191074408.575268,-79.3737716675355
191386605.831432,-134.027441978204
191698803.087597,-80.1221160889651
192011000.343761,-135.598898887383
192323197.599925,-80.3317489625176
192635394.856089,-130.849921226251
192947592.112254,-79.1354446411594
193259789.368418,-128.538718223321
193571986.624582,-79.3083343506387
193884183.880746,-135.101157188165
194196381.136911,-79.0924377441854
194508578.393075,-137.207663535821
194820775.649239,-79.3542556763244
195132972.905403,-143.515051841485
195445170.161568,-79.8924026490088
195757367.417732,-133.048270225274
196069564.673896,-78.866615295448
196381761.93006,-134.03987789129
196693959.186225,-79.7310714722416
197006156.442389,-140.133414268243
197318353.698553,-79.3887710571856
197630550.954717,-127.644812583672
197942748.210882,-79.1794891357906
198254945.467046,-140.454199790704
198567142.72321,-79.5089187622695
198879339.979374,-136.970038413751
199191537.235539,-79.826591491779
199503734.491703,-137.050330161797
199815931.747867,-79.4732589722289
200128129.004031,-129.845328330743
200440326.260196,-79.4555587769157
200752523.51636,-133.592917442071
201064720.772524,-78.755310058629
201376918.028688,-133.274832725274
201689115.284853,-79.590347290106
202001312.541017,-142.190497398126
202313509.797181,-80.0873107911138
202625707.053345,-135.72981929754
202937904.30951,-79.8339004517411
203250101.565674,-133.886740684258
203562298.821838,-79.1292419434066
203874496.078002,-130.979468345391
204186693.334167,-79.9370803833886
204498890.590331,-138.151862144219
204811087.846495,-79.9195861817274
205123285.102659,-133.419013023126
205435482.358824,-79.0929336548312
205747679.614988,-138.030158042657
206059876.871152,-79.8309555054523
206372074.127316,-137.884055137383
206684271.383481,-79.2365341187039
206996468.639645,-137.985617637383
207308665.895809,-79.5776901245788
207620863.151974,-134.404410361993
207933060.408138,-80.1547622681709
208245257.664302,-133.789420127618
208557454.920466,-79.2685775757366
208869652.176631,-133.788825034844
209181849.432795,-79.4436340332639
209494046.688959,-140.590079307305
209806243.945123,-79.9699935913997
210118441.201288,-132.05760860418
210430638.457452,-79.5401992798507
210742835.713616,-131.027380943047
211055032.96978,-79.6278076172577
211367230.225945,-133.194113731133
211679427.482109,-79.8403472901218
211991624.738273,-133.52571773504
212303821.994437,-79.5421066284839
212616019.250602,-128.353384971368
212928216.506766,-79.5892868042677
213240413.76293,-136.786185264337
213552611.019094,-79.4696426392227
213864808.275259,-138.162131309258
214177005.531423,-79.4705200195939
214489202.787587,-132.634085654962
214801400.043751,-79.5485687256525
215113597.299916,-135.945120811212
215425794.55608,-78.9365158081472
215737991.812244,-135.830618858087
216050189.068408,-79.0630645752413
216362386.324573,-143.148520469415
216674583.580737,-79.5519485474303
216986780.836901,-139.049185752618
217298978.093065,-79.9416046143483
217611175.34923,-134.712485313165
217923372.605394,-79.9674758912057
218235569.861558,-129.141806602227
218547767.117722,-79.7780075074042
218859964.373887,-130.454550742852
219172161.630051,-79.9391021729422
219484358.886215,-133.050482749688
219796556.142379,-79.4578628540667
220108753.398544,-136.522971153008
220420950.654708,-79.3358154297448
220733147.910872,-138.129034995782
221045345.167036,-79.3661804199807
221357542.423201,-140.487677573907
221669739.679365,-79.8801345826071
221981936.935529,-132.825461387383
222294134.191693,-79.1968688965364
222606331.447858,-130.70540523504
222918528.704022,-79.4499206543602
223230725.960186,-133.924658775079
223542923.216351,-79.1907196045443
223855120.472515,-130.372199058282
224167317.728679,-79.6341171265383
224479514.984843,-135.085577964532
