Frequency (Hz),Power (dBm)
158293696.678021,-135.838568687188
158605893.934185,-104.743163108568
158918091.19035,-139.862586021172
159230288.446514,-104.537627219893
159542485.702678,-139.780524253594
159854682.958842,-106.584677695977
160166880.215007,-141.435614585626
160479077.471171,-104.061202048985
160791274.727335,-145.229453086602
161103471.983499,-106.661505698906
161415669.239664,-137.138632774102
161727866.495828,-106.044989585625
162040063.751992,-136.650732993829
162352261.008157,-105.448309898123
162664458.264321,-141.441870689141
162976655.520485,-105.072119712575
163288852.776649,-144.312628745782
163601050.032814,-106.37010860418
163913247.288978,-142.719382285821
164225444.545142,-106.839827537285
164537641.801306,-147.872855186212
164849839.057471,-105.191466331228
165162036.313635,-138.165167808282
165474233.569799,-105.890479087578
165786430.825963,-138.428366660821
166098628.082128,-107.089995383965
166410825.338292,-138.028662681329
166723022.594456,-102.276984214225
167035219.85062,-138.266882896172
167347417.106785,-105.684248924003
167659614.362949,-139.173880576837
167971811.619113,-106.549361228692
168284008.875277,-141.595587730157
168596206.131442,-106.393652915703
168908403.387606,-144.212058067071
169220600.64377,-105.031172752125
169532797.899934,-140.116354942071
169844995.156099,-105.812506675468
170157192.412263,-138.611304282891
170469389.668427,-106.304274558769
170781586.924591,-134.504569053399
171093784.180756,-105.373198508963
171405981.43692,-148.359686851251
171718178.693084,-106.720435142266
172030375.949248,-138.201483726251
172342573.205413,-105.937087058769
172654770.461577,-144.315512656915
172966967.717741,-105.97392940496
173279164.973905,-144.172293662774
173591362.23007,-106.92870235418
173903559.486234,-148.422537803399
174215756.742398,-104.182341575355
174527953.998562,-132.69351863836
174840151.254727,-105.534720420584
175152348.510891,-139.483679771172
175464545.767055,-106.660002708184
175776743.023219,-140.370856284844
176088940.279384,-104.806586265307
176401137.535548,-135.204337119805
176713334.791712,-106.616827964531
177025532.047877,-135.504294395196
177337729.304041,-106.661017417656
177649926.560205,-140.485785484063
177962123.816369,-104.330626487468
178274321.072534,-141.741156577813
178586518.328698,-104.705542564134
178898715.584862,-136.651068687188
179210912.841026,-105.874182700859
179523110.097191,-136.099967002618
179835307.353355,-105.442870139822
180147504.609519,-134.514121055352
180459701.865683,-106.801230430352
180771899.121848,-140.27474117254
181084096.378012,-105.075774192555
181396293.634176,-135.913062095391
181708490.89034,-105.983595847832
182020688.146505,-137.849799155938
182332885.402669,-105.011458396656
182645082.658833,-135.491568565118
182957279.914997,-105.62236690496
183269477.171162,-138.350638389337
183581674.427326,-103.85575771304
183893871.68349,-135.385352134454
184206068.939654,-105.438986778006
184518266.195819,-145.672430991876
184830463.451983,-105.697127341972
185142660.708147,-150.114569663751
185454857.964311,-106.534392356621
185767055.220476,-138.940039634454
186079252.47664,-106.178862571465
186391449.732804,-141.539679527032
186703646.988968,-105.626364707694
187015844.245133,-141.706686973321
187328041.501297,-105.467795371756
187640238.757461,-148.388907432305
187952436.013625,-105.243819236501
188264633.26979,-136.174445152032
188576830.525954,-106.466193198906
188889027.782118,-134.374762534844
189201225.038282,-105.04941463445
189513422.294447,-143.410254478204
189825619.550611,-105.377371787772
190137816.806775,-146.758063316094
190450014.062939,-105.180586814626
190762211.319104,-139.59407711004
191074408.575268,-107.034277915704
191386605.831432,-135.278708457696
191698803.087597,-105.959242820488
192011000.343761,-133.806815147149
192323197.599925,-105.398657798514
192635394.856089,-139.490988731133
192947592.112254,-103.932639121736
193259789.368418,-139.137656211602
193571986.624582,-105.678290366874
193884183.880746,-142.364203452813
194196381.136911,-106.475142478692
194508578.393075,-138.657355308282
194820775.649239,-106.234259605156
195132972.905403,-150.062277793633
195445170.161568,-105.514929771171
195757367.417732,-141.116080283868
196069564.673896,-105.624609946952
196381761.93006,-137.046179771172
196693959.186225,-104.958205222828
197006156.442389,-141.393500327813
197318353.698553,-105.172247886404
197630550.954717,-140.73812007879
197942748.210882,-105.844153403984
198254945.467046,-140.453146934258
198567142.72321,-106.808569907891
198879339.979374,-138.272025108087
199191537.235539,-105.317557334646
199503734.491703,-132.388297080743
199815931.747867,-104.132285117836
200128129.004031,-132.698767661797
200440326.260196,-105.577841758475
200752523.51636,-145.996848106133
201064720.772524,-102.901350974681
201376918.028688,-142.805899619805
201689115.284853,-105.750845908866
202001312.541017,-141.791098594415
202313509.797181,-105.321784019217
202625707.053345,-136.116065025079
202937904.30951,-106.24795436834
203250101.565674,-139.20735836004
203562298.821838,-106.074652671562
203874496.078002,-137.249625205743
204186693.334167,-105.882246970878
204498890.590331,-135.907782554376
204811087.846495,-106.459319114434
205123285.102659,-143.90477657293
205435482.358824,-105.948683738457
205747679.614988,-137.429388999688
206059876.871152,-106.153876304375
