TIME (S),Amplitude (V)
-4.99347953e-06,3.43281250e-02
-4.99343953e-06,1.29859375e-01
-4.99339953e-06,1.80609375e-01
-4.99335953e-06,1.59171875e-01
-4.99331953e-06,5.87031250e-02
-4.99327953e-06,-1.18750000e-02
-4.99323953e-06,-4.79375000e-02
-4.99319953e-06,-1.23218750e-01
-4.99315953e-06,-1.78265625e-01
-4.99311953e-06,-1.70656250e-01
-4.99307953e-06,-7.03281250e-02
-4.99303953e-06,2.62187500e-02
-4.99299953e-06,5.81406250e-02
-4.99295953e-06,1.08859375e-01
-4.99291953e-06,1.61406250e-01
-4.99287953e-06,1.68000000e-01
-4.99283953e-06,7.54843750e-02
-4.99279953e-06,-4.75781250e-02
-4.99275953e-06,-9.53437500e-02
-4.99271953e-06,-1.26843750e-01
-4.99267953e-06,-1.57265625e-01
-4.99263953e-06,-1.57531250e-01
-4.99259953e-06,-8.56718750e-02
-4.99255953e-06,3.15312500e-02
-4.99251953e-06,1.04468750e-01
-4.99247953e-06,1.38843750e-01
-4.99243953e-06,1.37312500e-01
-4.99239953e-06,1.38406250e-01
-4.99235953e-06,1.01265625e-01
-4.99231953e-06,-3.21718750e-02
-4.99227953e-06,-1.31406250e-01
-4.99223953e-06,-1.56515625e-01
-4.99219953e-06,-1.42390625e-01
-4.99215953e-06,-1.22453125e-01
-4.99211953e-06,-9.51406250e-02
-4.99207953e-06,1.47812500e-02
-4.99203953e-06,1.31468750e-01
-4.99199953e-06,1.65656250e-01
-4.99195953e-06,1.35531250e-01
-4.99191953e-06,1.04156250e-01
-4.99187953e-06,7.62968750e-02
-4.99183953e-06,-2.46562500e-02
-4.99179953e-06,-1.34281250e-01
-4.99175953e-06,-1.82234375e-01
-4.99171953e-06,-1.56125000e-01
-4.99167953e-06,-9.04218750e-02
-4.99163953e-06,-5.80625000e-02
-4.99159953e-06,1.42500000e-02
-4.99155953e-06,1.18437500e-01
-4.99151953e-06,1.78781250e-01
-4.99147953e-06,1.66265625e-01
-4.99143953e-06,7.34531250e-02
-4.99139953e-06,2.30781250e-02
-4.99135953e-06,-1.78437500e-02
-4.99131953e-06,-1.21250000e-01
-4.99127953e-06,-1.89296875e-01
-4.99123953e-06,-1.77500000e-01
-4.99119953e-06,-8.71718750e-02
-4.99115953e-06,-7.93750000e-03
-4.99111953e-06,3.32187500e-02
-4.99107953e-06,1.05812500e-01
-4.99103953e-06,1.72890625e-01
-4.99099953e-06,1.73812500e-01
-4.99095953e-06,7.95156250e-02
-4.99091953e-06,-1.90468750e-02
-4.99087953e-06,-6.56562500e-02
-4.99083953e-06,-1.17187500e-01
-4.99079953e-06,-1.63125000e-01
-4.99075953e-06,-1.75625000e-01
-4.99071953e-06,-1.01406250e-01
-4.99067953e-06,1.31718750e-02
-4.99063953e-06,7.94218750e-02
-4.99059953e-06,1.19734375e-01
-4.99055953e-06,1.48359375e-01
-4.99051953e-06,1.69171875e-01
-4.99047953e-06,1.09781250e-01
-4.99043953e-06,-2.56250000e-02
-4.99039953e-06,-1.15546875e-01
-4.99035953e-06,-1.45515625e-01
-4.99031953e-06,-1.42015625e-01
-4.99027953e-06,-1.45593750e-01
-4.99023953e-06,-1.07781250e-01
-4.99019953e-06,1.50468750e-02
-4.99015953e-06,1.09843750e-01
-4.99011953e-06,1.41859375e-01
-4.99007953e-06,1.36718750e-01
-4.99003953e-06,1.27781250e-01
-4.98999953e-06,9.90156250e-02
-4.98995953e-06,-1.05625000e-02
-4.98991953e-06,-1.20546875e-01
-4.98987953e-06,-1.68218750e-01
-4.98983953e-06,-1.51843750e-01
-4.98979953e-06,-1.11750000e-01
-4.98975953e-06,-8.37500000e-02
-4.98971953e-06,7.09375000e-03
-4.98967953e-06,1.18390625e-01
-4.98963953e-06,1.70171875e-01
-4.98959953e-06,1.57234375e-01
-4.98955953e-06,9.17187500e-02
-4.98951953e-06,4.99062500e-02
-4.98947953e-06,-1.21875000e-03
-4.98943953e-06,-1.07234375e-01
-4.98939953e-06,-1.83078125e-01
-4.98935953e-06,-1.79781250e-01
-4.98931953e-06,-1.04109375e-01
-4.98927953e-06,-3.11718750e-02
-4.98923953e-06,1.12343750e-02
-4.98919953e-06,9.62812500e-02
-4.98915953e-06,1.79828125e-01
-4.98911953e-06,1.75187500e-01
-4.98907953e-06,9.30468750e-02
-4.98903953e-06,9.20312500e-03
-4.98899953e-06,-4.17656250e-02
-4.98895953e-06,-1.01890625e-01
-4.98891953e-06,-1.64406250e-01
-4.98887953e-06,-1.84453125e-01
-4.98883953e-06,-1.10265625e-01
-4.98879953e-06,3.50000000e-03
-4.98875953e-06,5.46406250e-02
-4.98871953e-06,1.00343750e-01
-4.98867953e-06,1.59656250e-01
-4.98863953e-06,1.75796875e-01
-4.98859953e-06,1.14468750e-01
-4.98855953e-06,-1.00468750e-02
-4.98851953e-06,-9.15625000e-02
-4.98847953e-06,-1.10640625e-01
-4.98843953e-06,-1.34046875e-01
-4.98839953e-06,-1.66156250e-01
-4.98835953e-06,-1.25250000e-01
-4.98831953e-06,4.95312500e-03
-4.98827953e-06,9.76406250e-02
-4.98823953e-06,1.26281250e-01
-4.98819953e-06,1.38968750e-01
-4.98815953e-06,1.42593750e-01
-4.98811953e-06,1.13078125e-01
-4.98807953e-06,-6.87500000e-04
-4.98803953e-06,-1.18093750e-01
-4.98799953e-06,-1.53046875e-01
-4.98795953e-06,-1.41812500e-01
-4.98791953e-06,-1.26718750e-01
-4.98787953e-06,-1.00828125e-01
-4.98783953e-06,-7.56250000e-03
-4.98779953e-06,1.08968750e-01
-4.98775953e-06,1.61828125e-01
-4.98771953e-06,1.44609375e-01
-4.98767953e-06,1.06125000e-01
-4.98763953e-06,8.42187500e-02
-4.98759953e-06,5.31250000e-03
-4.98755953e-06,-1.12593750e-01
-4.98751953e-06,-1.72078125e-01
-4.98747953e-06,-1.64609375e-01
-4.98743953e-06,-1.07937500e-01
-4.98739953e-06,-6.37812500e-02
-4.98735953e-06,-1.00312500e-02
-4.98731953e-06,9.31093750e-02
-4.98727953e-06,1.74218750e-01
-4.98723953e-06,1.76015625e-01
-4.98719953e-06,9.66875000e-02
-4.98715953e-06,3.16718750e-02
-4.98711953e-06,-1.09687500e-02
-4.98707953e-06,-9.37343750e-02
-4.98703953e-06,-1.69062500e-01
-4.98699953e-06,-1.87531250e-01
-4.98695953e-06,-1.08625000e-01
-4.98691953e-06,-1.67187500e-02
-4.98687953e-06,2.29687500e-02
-4.98683953e-06,8.98281250e-02
-4.98679953e-06,1.59734375e-01
-4.98675953e-06,1.82796875e-01
-4.98671953e-06,1.12593750e-01
-4.98667953e-06,-8.04687500e-03
-4.98663953e-06,-6.29375000e-02
-4.98659953e-06,-1.00390625e-01
-4.98655953e-06,-1.52703125e-01
-4.98651953e-06,-1.82781250e-01
-4.98647953e-06,-1.37812500e-01
-4.98643953e-06,-1.74375000e-02
-4.98639953e-06,7.19375000e-02
-4.98635953e-06,1.11515625e-01
-4.98631953e-06,1.38093750e-01
-4.98627953e-06,1.63062500e-01
-4.98623953e-06,1.24000000e-01
-4.98619953e-06,-2.79687500e-03
-4.98615953e-06,-1.00859375e-01
-4.98611953e-06,-1.38843750e-01
-4.98607953e-06,-1.39234375e-01
-4.98603953e-06,-1.35656250e-01
-4.98599953e-06,-1.24000000e-01
-4.98595953e-06,-2.46250000e-02
-4.98591953e-06,9.49531250e-02
-4.98587953e-06,1.48046875e-01
-4.98583953e-06,1.38984375e-01
-4.98579953e-06,1.12515625e-01
-4.98575953e-06,1.00890625e-01
-4.98571953e-06,1.64218750e-02
-4.98567953e-06,-1.08468750e-01
-4.98563953e-06,-1.66953125e-01
-4.98559953e-06,-1.56406250e-01
-4.98555953e-06,-9.92187500e-02
-4.98551953e-06,-7.67031250e-02
-4.98547953e-06,-2.96875000e-02
-4.98543953e-06,1.03046875e-01
