TIME (S),Amplitude (V)
-4.99336125e-06,8.51250000e-02
-4.99332125e-06,1.06468750e-01
-4.99328125e-06,1.24000000e-01
-4.99324125e-06,1.40187500e-01
-4.99320125e-06,1.52859375e-01
-4.99316125e-06,1.51750000e-01
-4.99312125e-06,1.18000000e-01
-4.99308125e-06,1.04406250e-01
-4.99304125e-06,8.63437500e-02
-4.99300125e-06,3.89843750e-02
-4.99296125e-06,1.50000000e-02
-4.99292125e-06,-4.40625000e-03
-4.99288125e-06,-1.60625000e-02
-4.99284125e-06,-2.60937500e-02
-4.99280125e-06,-3.70312500e-02
-4.99276125e-06,-6.28125000e-03
-4.99272125e-06,1.64218750e-02
-4.99268125e-06,2.62656250e-02
-4.99264125e-06,6.16875000e-02
-4.99260125e-06,9.81250000e-02
-4.99256125e-06,1.18406250e-01
-4.99252125e-06,1.22656250e-01
-4.99248125e-06,1.42156250e-01
-4.99244125e-06,1.57718750e-01
-4.99240125e-06,1.37453125e-01
-4.99236125e-06,1.14968750e-01
-4.99232125e-06,9.89062500e-02
-4.99228125e-06,7.64843750e-02
-4.99224125e-06,3.28593750e-02
-4.99220125e-06,-2.70312500e-03
-4.99216125e-06,-5.68750000e-03
-4.99212125e-06,-2.31406250e-02
-4.99208125e-06,-3.37031250e-02
-4.99204125e-06,-1.85156250e-02
-4.99200125e-06,-4.71875000e-03
-4.99196125e-06,2.22968750e-02
-4.99192125e-06,3.95937500e-02
-4.99188125e-06,7.17500000e-02
-4.99184125e-06,1.17890625e-01
-4.99180125e-06,1.20546875e-01
-4.99176125e-06,1.34203125e-01
-4.99172125e-06,1.51812500e-01
-4.99168125e-06,1.44812500e-01
-4.99164125e-06,1.30203125e-01
-4.99160125e-06,1.01093750e-01
-4.99156125e-06,8.65781250e-02
-4.99152125e-06,5.48906250e-02
-4.99148125e-06,8.35937500e-03
-4.99144125e-06,-9.59375000e-03
-4.99140125e-06,-2.39531250e-02
-4.99136125e-06,-2.17656250e-02
-4.99132125e-06,-2.44531250e-02
-4.99128125e-06,-2.35937500e-02
-4.99124125e-06,1.56093750e-02
-4.99120125e-06,2.93906250e-02
-4.99116125e-06,4.40312500e-02
-4.99112125e-06,8.99531250e-02
-4.99108125e-06,1.16296875e-01
-4.99104125e-06,1.32359375e-01
-4.99100125e-06,1.39015625e-01
-4.99096125e-06,1.45546875e-01
-4.99092125e-06,1.50765625e-01
-4.99088125e-06,1.12531250e-01
-4.99084125e-06,8.65156250e-02
-4.99080125e-06,7.90937500e-02
-4.99076125e-06,2.90468750e-02
-4.99072125e-06,-4.01562500e-03
-4.99068125e-06,-6.90625000e-03
-4.99064125e-06,-2.27812500e-02
-4.99060125e-06,-3.55312500e-02
-4.99056125e-06,-3.12187500e-02
-4.99052125e-06,-4.31250000e-03
-4.99048125e-06,2.10937500e-02
-4.99044125e-06,4.03593750e-02
-4.99040125e-06,7.05312500e-02
-4.99036125e-06,1.02453125e-01
-4.99032125e-06,1.28640625e-01
-4.99028125e-06,1.35265625e-01
-4.99024125e-06,1.44812500e-01
-4.99020125e-06,1.53984375e-01
-4.99016125e-06,1.26593750e-01
-4.99012125e-06,9.27031250e-02
-4.99008125e-06,7.65781250e-02
-4.99004125e-06,5.87343750e-02
-4.99000125e-06,2.20625000e-02
-4.98996125e-06,-1.02031250e-02
-4.98992125e-06,-1.77343750e-02
-4.98988125e-06,-2.17343750e-02
-4.98984125e-06,-2.97187500e-02
-4.98980125e-06,-2.16718750e-02
-4.98976125e-06,9.42187500e-03
-4.98972125e-06,3.44843750e-02
-4.98968125e-06,4.99218750e-02
-4.98964125e-06,7.92187500e-02
-4.98960125e-06,1.13171875e-01
-4.98956125e-06,1.31953125e-01
-4.98952125e-06,1.37281250e-01
-4.98948125e-06,1.47734375e-01
-4.98944125e-06,1.54953125e-01
-4.98940125e-06,1.27812500e-01
-4.98936125e-06,7.95781250e-02
-4.98932125e-06,5.95781250e-02
-4.98928125e-06,4.54375000e-02
-4.98924125e-06,2.78125000e-03
-4.98920125e-06,-1.90156250e-02
-4.98916125e-06,-2.29062500e-02
-4.98912125e-06,-2.88906250e-02
-4.98908125e-06,-2.35000000e-02
-4.98904125e-06,-1.56093750e-02
-4.98900125e-06,2.20156250e-02
-4.98896125e-06,5.49375000e-02
-4.98892125e-06,5.95937500e-02
-4.98888125e-06,9.67500000e-02
-4.98884125e-06,1.28937500e-01
-4.98880125e-06,1.41500000e-01
-4.98876125e-06,1.50250000e-01
-4.98872125e-06,1.41328125e-01
-4.98868125e-06,1.41687500e-01
-4.98864125e-06,1.10828125e-01
-4.98860125e-06,6.78750000e-02
-4.98856125e-06,5.53593750e-02
-4.98852125e-06,2.14843750e-02
-4.98848125e-06,-1.02343750e-02
-4.98844125e-06,-2.50781250e-02
-4.98840125e-06,-2.94062500e-02
-4.98836125e-06,-2.23125000e-02
-4.98832125e-06,-2.40937500e-02
-4.98828125e-06,1.48437500e-03
-4.98824125e-06,3.43593750e-02
-4.98820125e-06,5.22343750e-02
-4.98816125e-06,8.60468750e-02
-4.98812125e-06,1.15468750e-01
-4.98808125e-06,1.37640625e-01
-4.98804125e-06,1.47062500e-01
-4.98800125e-06,1.40687500e-01
-4.98796125e-06,1.36062500e-01
-4.98792125e-06,1.24890625e-01
-4.98788125e-06,9.96406250e-02
-4.98784125e-06,6.57656250e-02
-4.98780125e-06,4.34062500e-02
-4.98776125e-06,1.15312500e-02
-4.98772125e-06,-2.44531250e-02
-4.98768125e-06,-2.71093750e-02
-4.98764125e-06,-2.02500000e-02
-4.98760125e-06,-1.52968750e-02
-4.98756125e-06,-9.84375000e-03
-4.98752125e-06,1.37187500e-02
-4.98748125e-06,4.78593750e-02
-4.98744125e-06,6.65781250e-02
-4.98740125e-06,9.51250000e-02
-4.98736125e-06,1.21000000e-01
-4.98732125e-06,1.41140625e-01
-4.98728125e-06,1.53281250e-01
-4.98724125e-06,1.38828125e-01
-4.98720125e-06,1.34515625e-01
-4.98716125e-06,1.17390625e-01
-4.98712125e-06,7.09062500e-02
-4.98708125e-06,4.95312500e-02
-4.98704125e-06,3.61718750e-02
-4.98700125e-06,-1.48437500e-03
-4.98696125e-06,-2.95625000e-02
-4.98692125e-06,-3.20468750e-02
-4.98688125e-06,-2.28437500e-02
-4.98684125e-06,-5.32812500e-03
-4.98680125e-06,2.14062500e-03
-4.98676125e-06,2.57812500e-02
-4.98672125e-06,6.90937500e-02
-4.98668125e-06,7.76875000e-02
-4.98664125e-06,1.00890625e-01
-4.98660125e-06,1.39875000e-01
-4.98656125e-06,1.45953125e-01
-4.98652125e-06,1.46687500e-01
-4.98648125e-06,1.31156250e-01
-4.98644125e-06,1.19359375e-01
-4.98640125e-06,1.06671875e-01
-4.98636125e-06,5.26718750e-02
-4.98632125e-06,2.24687500e-02
-4.98628125e-06,1.80781250e-02
-4.98624125e-06,-1.20625000e-02
-4.98620125e-06,-3.52500000e-02
-4.98616125e-06,-3.21250000e-02
-4.98612125e-06,-1.83281250e-02
-4.98608125e-06,-6.07812500e-03
-4.98604125e-06,6.37500000e-03
-4.98600125e-06,4.40468750e-02
-4.98596125e-06,8.43906250e-02
-4.98592125e-06,9.91875000e-02
-4.98588125e-06,1.18875000e-01
-4.98584125e-06,1.36921875e-01
-4.98580125e-06,1.46718750e-01
-4.98576125e-06,1.48062500e-01
-4.98572125e-06,1.21781250e-01
-4.98568125e-06,1.09234375e-01
-4.98564125e-06,8.72343750e-02
-4.98560125e-06,3.34218750e-02
-4.98556125e-06,2.00156250e-02
-4.98552125e-06,3.89062500e-03
-4.98548125e-06,-3.60156250e-02
-4.98544125e-06,-3.86406250e-02
-4.98540125e-06,-2.76406250e-02
-4.98536125e-06,-1.18437500e-02
-4.98532125e-06,5.25000000e-03
-4.98528125e-06,2.11250000e-02
-4.98524125e-06,5.74218750e-02
-4.98520125e-06,8.90937500e-02
-4.98516125e-06,1.12390625e-01
-4.98512125e-06,1.36609375e-01
-4.98508125e-06,1.52156250e-01
-4.98504125e-06,1.49546875e-01
-4.98500125e-06,1.28312500e-01
-4.98496125e-06,1.19921875e-01
-4.98492125e-06,1.05671875e-01
-4.98488125e-06,5.78437500e-02
-4.98484125e-06,2.35468750e-02
-4.98480125e-06,7.65625000e-03
-4.98476125e-06,-1.25468750e-02
-4.98472125e-06,-2.49843750e-02
-4.98468125e-06,-3.04375000e-02
-4.98464125e-06,-1.95781250e-02
-4.98460125e-06,-7.81250000e-04
-4.98456125e-06,1.36562500e-02
-4.98452125e-06,4.32343750e-02
-4.98448125e-06,7.63906250e-02
-4.98444125e-06,1.01640625e-01
-4.98440125e-06,1.24343750e-01
-4.98436125e-06,1.39328125e-01
-4.98432125e-06,1.53437500e-01
-4.98428125e-06,1.51312500e-01
-4.98424125e-06,1.19234375e-01
-4.98420125e-06,9.86718750e-02
-4.98416125e-06,8.71093750e-02
-4.98412125e-06,4.46250000e-02
-4.98408125e-06,7.98437500e-03
-4.98404125e-06,-4.21875000e-04
-4.98400125e-06,-1.88437500e-02
-4.98396125e-06,-3.12031250e-02
-4.98392125e-06,-2.41406250e-02
-4.98388125e-06,-1.43593750e-02
-4.98384125e-06,9.04687500e-03
-4.98380125e-06,3.45625000e-02
-4.98376125e-06,6.53437500e-02
-4.98372125e-06,1.00109375e-01
-4.98368125e-06,1.15640625e-01
-4.98364125e-06,1.33875000e-01
-4.98360125e-06,1.46000000e-01
-4.98356125e-06,1.49046875e-01
-4.98352125e-06,1.40421875e-01
-4.98348125e-06,1.03250000e-01
