TIME (S),Amplitude (V)
-4.99346453e-06,4.27187500e-02
-4.99342453e-06,1.24578125e-01
-4.99338453e-06,1.84312500e-01
-4.99334453e-06,1.48578125e-01
-4.99330453e-06,2.88750000e-02
-4.99326453e-06,-6.02500000e-02
-4.99322453e-06,-9.39843750e-02
-4.99318453e-06,-1.24656250e-01
-4.99314453e-06,-1.62093750e-01
-4.99310453e-06,-1.42812500e-01
-4.99306453e-06,-2.46093750e-02
-4.99302453e-06,8.45468750e-02
-4.99298453e-06,1.25171875e-01
-4.99294453e-06,1.28515625e-01
-4.99290453e-06,1.20421875e-01
-4.99286453e-06,1.02562500e-01
-4.99282453e-06,3.92187500e-03
-4.99278453e-06,-1.24125000e-01
-4.99274453e-06,-1.72843750e-01
-4.99270453e-06,-1.50062500e-01
-4.99266453e-06,-9.38750000e-02
-4.99262453e-06,-5.04531250e-02
-4.99258453e-06,1.41406250e-02
-4.99254453e-06,1.20234375e-01
-4.99250453e-06,1.84437500e-01
-4.99246453e-06,1.53937500e-01
-4.99242453e-06,5.72656250e-02
-4.99238453e-06,-1.54218750e-02
-4.99234453e-06,-5.90312500e-02
-4.99230453e-06,-1.27546875e-01
-4.99226453e-06,-1.85562500e-01
-4.99222453e-06,-1.53453125e-01
-4.99218453e-06,-4.22500000e-02
-4.99214453e-06,4.98593750e-02
-4.99210453e-06,9.33593750e-02
-4.99206453e-06,1.14468750e-01
-4.99202453e-06,1.47781250e-01
-4.99198453e-06,1.36718750e-01
-4.99194453e-06,1.80937500e-02
-4.99190453e-06,-9.95312500e-02
-4.99186453e-06,-1.52671875e-01
-4.99182453e-06,-1.42031250e-01
-4.99178453e-06,-1.12812500e-01
-4.99174453e-06,-9.99843750e-02
-4.99170453e-06,-1.04218750e-02
-4.99166453e-06,1.11062500e-01
-4.99162453e-06,1.64421875e-01
-4.99158453e-06,1.47281250e-01
-4.99154453e-06,7.87187500e-02
-4.99150453e-06,3.09843750e-02
-4.99146453e-06,-1.70312500e-02
-4.99142453e-06,-1.17453125e-01
-4.99138453e-06,-1.87703125e-01
-4.99134453e-06,-1.54984375e-01
-4.99130453e-06,-6.43437500e-02
-4.99126453e-06,1.31718750e-02
-4.99122453e-06,6.83750000e-02
-4.99118453e-06,1.21484375e-01
-4.99114453e-06,1.72203125e-01
-4.99110453e-06,1.46500000e-01
-4.99106453e-06,2.97343750e-02
-4.99102453e-06,-6.99843750e-02
-4.99098453e-06,-1.18937500e-01
-4.99094453e-06,-1.32640625e-01
-4.99090453e-06,-1.40765625e-01
-4.99086453e-06,-1.32187500e-01
-4.99082453e-06,-3.00312500e-02
-4.99078453e-06,9.40625000e-02
-4.99074453e-06,1.44406250e-01
-4.99070453e-06,1.34812500e-01
-4.99066453e-06,1.03265625e-01
-4.99062453e-06,7.90000000e-02
-4.99058453e-06,5.89062500e-03
-4.99054453e-06,-1.13906250e-01
-4.99050453e-06,-1.82203125e-01
-4.99046453e-06,-1.55343750e-01
-4.99042453e-06,-7.84843750e-02
-4.99038453e-06,-2.91093750e-02
-4.99034453e-06,2.76562500e-02
-4.99030453e-06,1.11312500e-01
-4.99026453e-06,1.77906250e-01
-4.99022453e-06,1.69890625e-01
-4.99018453e-06,5.27031250e-02
-4.99014453e-06,-3.90937500e-02
-4.99010453e-06,-7.92500000e-02
-4.99006453e-06,-1.30500000e-01
-4.99002453e-06,-1.53984375e-01
-4.98998453e-06,-1.45765625e-01
-4.98994453e-06,-5.36875000e-02
-4.98990453e-06,7.69375000e-02
-4.98986453e-06,1.25906250e-01
-4.98982453e-06,1.28078125e-01
-4.98978453e-06,1.25453125e-01
-4.98974453e-06,1.07390625e-01
-4.98970453e-06,2.63906250e-02
-4.98966453e-06,-9.97343750e-02
-4.98962453e-06,-1.68406250e-01
-4.98958453e-06,-1.51437500e-01
-4.98954453e-06,-9.95468750e-02
-4.98950453e-06,-5.85156250e-02
-4.98946453e-06,2.01562500e-03
-4.98942453e-06,1.00203125e-01
-4.98938453e-06,1.79453125e-01
-4.98934453e-06,1.56578125e-01
-4.98930453e-06,5.91406250e-02
-4.98926453e-06,4.43750000e-03
-4.98922453e-06,-4.62968750e-02
-4.98918453e-06,-1.23171875e-01
-4.98914453e-06,-1.77359375e-01
-4.98910453e-06,-1.64625000e-01
-4.98906453e-06,-4.83750000e-02
-4.98902453e-06,4.46250000e-02
-4.98898453e-06,7.97656250e-02
-4.98894453e-06,1.28109375e-01
-4.98890453e-06,1.48265625e-01
-4.98886453e-06,1.31531250e-01
-4.98882453e-06,4.27343750e-02
-4.98878453e-06,-9.41250000e-02
-4.98874453e-06,-1.49843750e-01
-4.98870453e-06,-1.31359375e-01
-4.98866453e-06,-1.19703125e-01
-4.98862453e-06,-1.04375000e-01
-4.98858453e-06,-2.94062500e-02
-4.98854453e-06,8.76406250e-02
-4.98850453e-06,1.60921875e-01
-4.98846453e-06,1.38781250e-01
-4.98842453e-06,8.32187500e-02
-4.98838453e-06,4.58750000e-02
-4.98834453e-06,-1.62500000e-02
-4.98830453e-06,-1.04515625e-01
-4.98826453e-06,-1.81453125e-01
-4.98822453e-06,-1.70953125e-01
-4.98818453e-06,-6.81875000e-02
-4.98814453e-06,9.60937500e-03
-4.98810453e-06,5.52031250e-02
-4.98806453e-06,1.01484375e-01
-4.98802453e-06,1.56031250e-01
-4.98798453e-06,1.62531250e-01
-4.98794453e-06,5.27968750e-02
-4.98790453e-06,-6.35312500e-02
-4.98786453e-06,-1.19484375e-01
-4.98782453e-06,-1.28328125e-01
-4.98778453e-06,-1.30125000e-01
-4.98774453e-06,-1.38031250e-01
-4.98770453e-06,-5.27812500e-02
-4.98766453e-06,8.18750000e-02
-4.98762453e-06,1.54843750e-01
-4.98758453e-06,1.38156250e-01
-4.98754453e-06,9.11875000e-02
-4.98750453e-06,8.21406250e-02
-4.98746453e-06,1.38125000e-02
-4.98742453e-06,-1.08750000e-01
-4.98738453e-06,-1.78593750e-01
-4.98734453e-06,-1.66062500e-01
-4.98730453e-06,-8.29062500e-02
-4.98726453e-06,-2.83281250e-02
-4.98722453e-06,1.74218750e-02
-4.98718453e-06,1.06187500e-01
